Silicone_Type,3D_Print_Material,Workability(1-5), Fine Detail & Accuracy(1-5),Mechanical Strength(1-5),Mold Reusability(1-5), Notes

Silicone Rubber,PLA,5,5,3,3,Some damage to mold
Silicone Rubber,PETG,5,5,3,5,None.
Silicone Rubber,ASA,5,3,3,5,ASA reacted with the sealing agent making the mold slightly bubbly
Silicone Rubber,TPU,4,2,3,4,TPU ad trouble releasing
Urethane Rubber,PLA,4,4,4,5,Urethane Rubber is significantley more difficut to demold than Silicone but it is much harder
Urethane Rubber,PETG,4,4,4,5,None.
Urethane Rubber,ASA,5,5,5,5, ASA released easily
Urethane Rubber,TPU,2,4,4,5, Very hard to demold
Urethane Resin,PLA,1,1,1,1,Resin and Mold fused together
Urethane Resin,PETG,1,1,1,1,Resin and Mold fused together
Urethane Resin,ASA,3,4,5,3, ASA's higher heat resist prevented it from fusing with the resin 
Urethane Resin,TPU,2,1,1,2, Unable to demold but potentially usable
